,Numero Contratti,Volume Ultimo,Volume totale,Prezzo ufficiale,Rendimento effettivo a scadenza netto,Rendimento effettivo a scadenza lordo,Duration modificata,Scadenza,Tasso Cedola su base Annua,anni_scadenza,median_monthly_volume_million,min_monthly_volume_million,max_monthly_volume_million,ratings
DE0001141828,14.0,19131.0,407682.0,99.70583,1.89,1.89,0.16,2025-10-10,,0.16,27.45,4.45,46.09,86
IT0004545890,3.0,44000.0,74000.0,106.9079,3.35,3.99,9.59,2041-09-15,,16.1,25.98,4.25,58.18,86
IT0005538597,14.0,20000.0,498000.0,101.17725,1.55,2.02,0.65,2026-04-15,,0.67,25.13,6.78,43.51,86
IT0005543803,21.0,222000.0,3261000.0,101.98,2.14,2.74,2.67,2029-05-15,,3.75,24.68,13.67,94.52,86
IT0001086567,28.0,1000.0,385894.0,106.27273,1.13,2.01,1.15,2026-11-01,,1.22,23.75,8.61,44.4,86
IT0005387052,3.0,111000.0,698000.0,97.347,2.05,2.81,3.43,2030-05-15,,4.75,23.42,9.67,83.51,85
IT0005657330,40.0,14000.0,1192000.0,99.8172,1.93,2.19,1.95,2027-08-26,2.1,2.03,23.23,4.1,48.52,85
XS2958536976,16.0,10000.0,138000.0,101.89399,3.16,4.4,4.71,2031-02-12,4.75,5.5,23.09,7.14,57.54,85
IT0005664484,9.0,166000.0,479000.0,99.08095,1.75,2.01,0.46,2026-01-30,,0.46,22.65,9.71,35.59,85
IT0005138828,5.0,128000.0,216000.0,100.17922,2.47,3.19,4.93,2032-09-15,,7.09,21.29,2.61,63.54,85
IT0005584302,8.0,5000.0,180000.0,100.53907,1.59,2.0,0.45,2026-01-28,3.2,0.46,21.27,7.14,40.34,85
EU000A3K4DY4,17.0,5000.0,259490.0,84.58568,3.53,3.95,17.32,2053-03-04,3.0,27.57,20.59,3.43,35.24,85
IT0004644735,27.0,14000.0,1002000.0,101.35731,1.44,1.99,0.53,2026-03-01,,0.55,19.95,8.59,41.66,85
XS1968706876,52.0,16000.0,1014000.0,78.18853,5.77,6.46,12.56,2049-04-03,4.625,23.65,19.75,7.68,25.21,85
IT0006768151,32.0,4000.0,393000.0,103.2599,3.15,4.52,3.97,2030-04-17,5.25,4.68,17.09,9.58,34.1,85
IT0005246134,2.0,4000.0,8000.0,101.36321,1.18,2.52,1.98,2028-05-15,,2.75,16.88,1.5,30.99,85
IT0004735152,11.0,211000.0,2153000.0,102.98,-1.34,2.23,0.78,2026-09-15,,1.09,16.76,3.57,34.01,84
IT0005521171,40.0,3000.0,225000.0,104.04011,1.53,2.62,2.31,2028-02-10,,2.49,16.66,2.91,23.9,84
IT0005607269,13.0,85000.0,292000.0,101.03915,1.72,2.11,0.99,2026-08-28,3.1,1.04,15.6,5.98,69.17,84
